cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
epi.Ciliated	TPPP3	0.0	0.0	3.712860554382524	0.962	0.079
epi.Ciliated	C20orf85	0.0	0.0	3.694380591044766	0.96	0.051
epi.Ciliated	C9orf24	0.0	0.0	3.458541072488241	0.94	0.042
epi.Ciliated	C1orf194	0.0	0.0	3.374080883608773	0.954	0.063
epi.Ciliated	C11orf88	0.0	0.0	3.315325858778136	0.93	0.043
epi.Ciliated	RSPH1	0.0	0.0	3.230618394501824	0.954	0.139
epi.Ciliated	AGR3	0.0	0.0	2.987806914502648	0.952	0.33
epi.Ciliated	MS4A8	0.0	0.0	2.8358668291483786	0.828	0.073
epi.Ciliated	PIFO	0.0	0.0	2.827515098437105	0.938	0.097
epi.Ciliated	SNTN	0.0	0.0	2.7210499774660324	0.892	0.028
epi.Ciliated	FAM183A	0.0	0.0	2.6347666472190423	0.918	0.035
epi.Ciliated	OMG	0.0	0.0	2.618844216881663	0.898	0.028
epi.Ciliated	ODF3B	0.0	0.0	2.5722225327968986	0.94	0.204
epi.Ciliated	CAPSL	0.0	0.0	2.4287612889183774	0.892	0.035
epi.Ciliated	C5orf49	0.0	0.0	2.378271578374396	0.892	0.07
epi.Ciliated	DNAAF1	0.0	0.0	2.334850545345533	0.92	0.091
epi.Ciliated	CFAP53	0.0	0.0	2.246013078959324	0.908	0.097
epi.Ciliated	LRRIQ1	0.0	0.0	2.120753898557893	0.904	0.103
epi.Ciliated	ROPN1L	0.0	0.0	2.059895911256726	0.854	0.033
epi.Ciliated	TMEM190	0.0	0.0	1.9235288835844968	0.582	0.017
epi.Ciliated	MORN5	0.0	0.0	1.910467838020075	0.802	0.019
epi.Ciliated	METRN	0.0	0.0	1.900992532937458	0.832	0.179
epi.Ciliated	CFAP126	0.0	0.0	1.8831143575945133	0.824	0.034
epi.Ciliated	C11orf97	0.0	0.0	1.869159431317737	0.81	0.043
epi.Ciliated	DYNLRB2	0.0	0.0	1.854253521100566	0.818	0.086
epi.Ciliated	ZMYND10	0.0	0.0	1.853584210690524	0.848	0.036
epi.Ciliated	DNAH5	0.0	0.0	1.852993361915857	0.86	0.083
epi.Ciliated	PPIL6	0.0	0.0	1.7562607070823963	0.842	0.109
epi.Ciliated	TEKT1	0.0	0.0	1.7543266787325444	0.808	0.023
epi.Ciliated	SPAG17	0.0	0.0	1.7443193160219006	0.814	0.041
epi.Ciliated	AC007906.2	0.0	0.0	1.74366059223018	0.8	0.077
epi.Ciliated	FAM216B	0.0	0.0	1.712422503194757	0.824	0.013
epi.Ciliated	ARMC3	0.0	0.0	1.6715778541503508	0.848	0.074
epi.Ciliated	CCDC78	0.0	0.0	1.6492944451229037	0.716	0.017
epi.Ciliated	LRRC23	0.0	0.0	1.631705236057476	0.854	0.207
epi.Ciliated	DYDC2	0.0	0.0	1.6264224169268575	0.78	0.024
epi.Ciliated	FAM92B	0.0	0.0	1.621954739383634	0.78	0.015
epi.Ciliated	DNAH12	0.0	0.0	1.6134765248849905	0.816	0.031
epi.Ciliated	CCDC39	0.0	0.0	1.604680622841389	0.81	0.016
epi.Ciliated	CEP126	0.0	0.0	1.5997864890820677	0.824	0.043
epi.Ciliated	LRRC46	0.0	0.0	1.5930344669396617	0.81	0.039
epi.Ciliated	FAM81B	0.0	0.0	1.5671465985830395	0.77	0.02
epi.Ciliated	HYDIN	0.0	0.0	1.565461330763969	0.826	0.063
epi.Ciliated	STK33	0.0	0.0	1.5649085572308803	0.87	0.197
epi.Ciliated	C9orf135	0.0	0.0	1.5540424144979157	0.748	0.02
epi.Ciliated	CDHR3	0.0	0.0	1.5529168247716378	0.82	0.018
epi.Ciliated	TUBA4B	0.0	0.0	1.5447752967595678	0.81	0.015
epi.Ciliated	CFAP43	0.0	0.0	1.539511629827623	0.82	0.035
epi.Ciliated	CFAP157	0.0	0.0	1.52566741658512	0.808	0.043
epi.Ciliated	EFCAB1	0.0	0.0	1.4572010837916352	0.762	0.019
epi.Ciliated	FHAD1	0.0	0.0	1.454302982504748	0.838	0.085
epi.Ciliated	ERICH3	0.0	0.0	1.4466956447773265	0.794	0.084
epi.Ciliated	ENKUR	0.0	0.0	1.446667983307732	0.762	0.026
epi.Ciliated	DRC1	0.0	0.0	1.4413796491418338	0.782	0.015
epi.Ciliated	RIIAD1	0.0	0.0	1.440356009822849	0.714	0.018
epi.Ciliated	ANKUB1	0.0	0.0	1.4341685345606223	0.738	0.007
epi.Ciliated	DNAH11	0.0	0.0	1.4307356577727193	0.808	0.067
epi.Ciliated	DRC3	0.0	0.0	1.416682039264491	0.766	0.105
epi.Ciliated	CALML4	0.0	0.0	1.4164043109866251	0.74	0.098
epi.Ciliated	SPATA18	0.0	0.0	1.4136190896672418	0.814	0.117
epi.Ciliated	CFAP70	0.0	0.0	1.413127537779159	0.798	0.109
epi.Ciliated	CCDC113	0.0	0.0	1.3922297036931055	0.75	0.118
epi.Ciliated	SYNE1	0.0	0.0	1.3595134136827107	0.766	0.105
epi.Ciliated	C6orf118	0.0	0.0	1.3349381912048308	0.75	0.016
epi.Ciliated	EFCAB10	0.0	0.0	1.33025946207479	0.73	0.025
epi.Ciliated	CFAP45	0.0	0.0	1.305678321676464	0.754	0.039
epi.Ciliated	WDR78	0.0	0.0	1.2880943062329389	0.792	0.124
epi.Ciliated	WDR38	0.0	0.0	1.272061040443869	0.67	0.01
epi.Ciliated	AL121899.1	0.0	0.0	1.260693480834182	0.712	0.056
epi.Ciliated	AKAP14	0.0	0.0	1.2519027311025297	0.696	0.009
epi.Ciliated	CFAP52	0.0	0.0	1.2455082517193	0.704	0.015
