gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	endo.Arterial	endo.Venous	epi.Ciliated	epi.Glandular	epi.Glandular_secretory	epi.Glandular_secretory_FGF7	epi.Luminal	epi.SOX9_basalis	epi.SOX9_functionalis_I	epi.SOX9_functionalis_II	epi.SOX9_luminal	epi.preCiliated	epi.preGlandular	epi.preLuminal	immune.eM1	immune.eM2	immune.uNK1	immune.uNK3	mes.Fibroblast_basalis	mes.dStromal_early	mes.dStromal_late	mes.dStromal_mid	mes.ePV_1a	mes.ePV_1b	mes.ePV_2	mes.eStromal	mes.eStromal_MMPs	mes.uSMCs
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.043	0.066	0.007	0.012	0.021	0.001	0.007	0.003	0.016	0.006	0.021	0.006	0.005	0.026	0.214	0.179	1.097	0.368	0.007	0.04	0.07	0.044	0.01	0.031	0.161	0.063	0.099	0.005
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.043	0.066	0.007	0.012	0.021	0.001	0.007	0.003	0.016	0.006	0.021	0.006	0.005	0.026	0.214	0.179	1.097	0.368	0.007	0.04	0.07	0.044	0.01	0.031	0.161	0.063	0.099	0.005
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.118	0.055	0.28	0.035	0.014	0.037	0.046	0.11	0.13	0.259	0.164	0.321	0.103	0.092	0.206	0.397	0.044	0.05	0.239	0.272	0.014	0.091	0.142	0.077	0.16	0.179	0.069	0.015
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.118	0.055	0.28	0.035	0.014	0.037	0.046	0.11	0.13	0.259	0.164	0.321	0.103	0.092	0.206	0.397	0.044	0.05	0.239	0.272	0.014	0.091	0.142	0.077	0.16	0.179	0.069	0.015
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.118	0.055	0.28	0.035	0.014	0.037	0.046	0.11	0.13	0.259	0.164	0.321	0.103	0.092	0.206	0.397	0.044	0.05	0.239	0.272	0.014	0.091	0.142	0.077	0.16	0.179	0.069	0.015
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.315	0.266	0.751	2.008	2.664	2.466	0.295	0.524	0.269	0.387	0.355	0.432	0.485	0.191	0.282	0.261	0.137	0.089	0.184	0.216	0.232	0.273	0.18	0.284	0.328	0.148	0.238	0.127
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.056	0.074	0.037	0.028	0.055	0.047	0.029	0.07	0.02	0.055	0.048	0.037	0.038	0.028	0.127	0.071	0.078	0.04	0.072	0.044	0.054	0.025	0.036	0.07	0.069	0.054	0.077	0.046
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.006	0.0	0.406	0.0	0.0	0.0	0.003	0.0	0.003	0.002	0.002	0.128	0.001	0.003	0.004	0.007	0.0	0.0	0.005	0.002	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.008	0.004	0.95	0.086	0.0	0.0	0.737	0.0	0.001	0.0	0.673	0.047	0.073	3.095	0.003	0.0	0.016	0.015	0.006	0.004	0.0	0.009	0.0	0.012	0.004	0.0	0.0	0.024
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	SULT1E1	0.008	0.004	0.95	0.086	0.0	0.0	0.737	0.0	0.001	0.0	0.673	0.047	0.073	3.095	0.003	0.0	0.016	0.015	0.006	0.004	0.0	0.009	0.0	0.012	0.004	0.0	0.0	0.024
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.008	0.004	0.95	0.086	0.0	0.0	0.737	0.0	0.001	0.0	0.673	0.047	0.073	3.095	0.003	0.0	0.016	0.015	0.006	0.004	0.0	0.009	0.0	0.012	0.004	0.0	0.0	0.024
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.002	0.002	0.0	0.005	0.0	0.0	0.0	0.0	0.003	0.0	0.001	0.003	0.0	0.003	0.0	0.0	0.001	0.0	0.012	0.0	0.001	0.014	0.014	0.003	0.003	0.0	0.006	0.002
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.14	0.132	0.057	0.029	0.036	0.026	0.051	0.054	0.153	0.115	0.181	0.043	0.181	0.15	0.024	0.04	0.141	0.208	0.045	0.016	0.014	0.03	0.057	0.018	0.025	0.062	0.009	0.049
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.14	0.132	0.057	0.029	0.036	0.026	0.051	0.054	0.153	0.115	0.181	0.043	0.181	0.15	0.024	0.04	0.141	0.208	0.045	0.016	0.014	0.03	0.057	0.018	0.025	0.062	0.009	0.049
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.14	0.132	0.057	0.029	0.036	0.026	0.051	0.054	0.153	0.115	0.181	0.043	0.181	0.15	0.024	0.04	0.141	0.208	0.045	0.016	0.014	0.03	0.057	0.018	0.025	0.062	0.009	0.049
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.14	0.132	0.057	0.029	0.036	0.026	0.051	0.054	0.153	0.115	0.181	0.043	0.181	0.15	0.024	0.04	0.141	0.208	0.045	0.016	0.014	0.03	0.057	0.018	0.025	0.062	0.009	0.049
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.444	0.398	1.259	0.96	1.113	0.55	1.095	2.141	1.402	2.056	1.209	1.058	1.207	1.084	0.178	0.264	0.072	0.145	0.68	0.538	0.247	0.473	0.927	0.945	0.721	0.771	0.529	0.365
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.444	0.398	1.259	0.96	1.113	0.55	1.095	2.141	1.402	2.056	1.209	1.058	1.207	1.084	0.178	0.264	0.072	0.145	0.68	0.538	0.247	0.473	0.927	0.945	0.721	0.771	0.529	0.365
