gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	endo.Arterial	endo.Venous	epi.Ciliated	epi.Glandular	epi.Glandular_secretory	epi.Glandular_secretory_FGF7	epi.Luminal	epi.SOX9_basalis	epi.SOX9_functionalis_I	epi.SOX9_functionalis_II	epi.SOX9_luminal	epi.preCiliated	epi.preGlandular	epi.preLuminal	immune.eM1	immune.eM2	immune.uNK1	immune.uNK3	mes.Fibroblast_basalis	mes.dStromal_early	mes.dStromal_late	mes.dStromal_mid	mes.ePV_1a	mes.ePV_1b	mes.ePV_2	mes.eStromal	mes.eStromal_MMPs	mes.uSMCs
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.05	0.072	0.016	0.016	0.028	0.002	0.008	0.008	0.036	0.014	0.032	0.031	0.012	0.042	0.166	0.134	0.53	0.134	0.005	0.036	0.064	0.028	0.006	0.036	0.142	0.064	0.114	0.002
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.05	0.072	0.016	0.016	0.028	0.002	0.008	0.008	0.036	0.014	0.032	0.031	0.012	0.042	0.166	0.134	0.53	0.134	0.005	0.036	0.064	0.028	0.006	0.036	0.142	0.064	0.114	0.002
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.092	0.046	0.278	0.034	0.02	0.026	0.05	0.227	0.238	0.404	0.32	0.566	0.204	0.136	0.166	0.244	0.04	0.02	0.109	0.2	0.018	0.082	0.094	0.088	0.126	0.18	0.064	0.01
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.092	0.046	0.278	0.034	0.02	0.026	0.05	0.227	0.238	0.404	0.32	0.566	0.204	0.136	0.166	0.244	0.04	0.02	0.109	0.2	0.018	0.082	0.094	0.088	0.126	0.18	0.064	0.01
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.092	0.046	0.278	0.034	0.02	0.026	0.05	0.227	0.238	0.404	0.32	0.566	0.204	0.136	0.166	0.244	0.04	0.02	0.109	0.2	0.018	0.082	0.094	0.088	0.126	0.18	0.064	0.01
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.24	0.222	0.538	0.682	0.884	0.702	0.208	0.646	0.442	0.536	0.52	0.608	0.574	0.262	0.254	0.174	0.118	0.03	0.107	0.174	0.228	0.224	0.102	0.26	0.272	0.14	0.25	0.074
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.044	0.076	0.054	0.042	0.082	0.022	0.032	0.161	0.05	0.12	0.116	0.138	0.092	0.046	0.108	0.06	0.074	0.016	0.044	0.042	0.064	0.026	0.024	0.084	0.07	0.056	0.092	0.036
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.002	0.0	0.336	0.0	0.0	0.0	0.002	0.0	0.002	0.006	0.006	0.223	0.004	0.006	0.004	0.004	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.006	0.004	0.34	0.05	0.0	0.0	0.288	0.0	0.002	0.0	0.116	0.021	0.058	0.608	0.002	0.0	0.012	0.006	0.003	0.002	0.0	0.006	0.0	0.004	0.004	0.0	0.0	0.008
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	SULT1E1	0.006	0.004	0.34	0.05	0.0	0.0	0.288	0.0	0.002	0.0	0.116	0.021	0.058	0.608	0.002	0.0	0.012	0.006	0.003	0.002	0.0	0.006	0.0	0.004	0.004	0.0	0.0	0.008
