gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Endothelial ACKR1	Endothelial SEMA3G	Fibroblast C7	Fibroblast dS	Fibroblast eS	Lymphoid	Myeloid	PV MYH11	PV STEAP4	epi_Ciliated	epi_Ciliated LRG5	epi_Glandular	epi_Glandular_secretory	epi_Lumenal 1	epi_Lumenal 2	epi_Pre-ciliated	epi_SOX9	epi_SOX9_LGR5	epi_SOX9_prolif	uSMC
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.01	0.017	0.006	0.0	0.023	0.158	0.052	0.0	0.055	0.01	0.005	0.0	0.007	0.008	0.018	0.006	0.005	0.017	0.022	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.01	0.017	0.006	0.0	0.023	0.158	0.052	0.0	0.055	0.01	0.005	0.0	0.007	0.008	0.018	0.006	0.005	0.017	0.022	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.036	0.02	0.064	0.021	0.068	0.038	0.077	0.0	0.01	0.218	0.206	0.011	0.014	0.035	0.031	0.145	0.073	0.064	0.08	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.036	0.02	0.064	0.021	0.068	0.038	0.077	0.0	0.01	0.218	0.206	0.011	0.014	0.035	0.031	0.145	0.073	0.064	0.08	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.036	0.02	0.064	0.021	0.068	0.038	0.077	0.0	0.01	0.218	0.206	0.011	0.014	0.035	0.031	0.145	0.073	0.064	0.08	0.0
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.09	0.181	0.038	0.202	0.233	0.137	0.179	0.008	0.131	0.467	0.433	0.906	0.986	0.224	0.264	0.151	0.214	0.145	0.284	0.036
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.021	0.031	0.0	0.004	0.053	0.017	0.057	0.013	0.024	0.016	0.04	0.001	0.007	0.037	0.019	0.02	0.022	0.03	0.058	0.024
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.456	0.202	0.0	0.0	0.0	0.0	0.041	0.002	0.007	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.0	0.014	0.02	0.0	0.0	0.013	0.0	0.036	0.02	0.307	0.378	0.056	0.013	0.495	0.589	0.0	0.003	0.496	0.058	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	SULT1E1	0.0	0.014	0.02	0.0	0.0	0.013	0.0	0.036	0.02	0.307	0.378	0.056	0.013	0.495	0.589	0.0	0.003	0.496	0.058	0.0
