gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Endothelial ACKR1	Endothelial SEMA3G	Fibroblast C7	Fibroblast dS	Fibroblast eS	Lymphoid	Myeloid	PV MYH11	PV STEAP4	epi_Ciliated	epi_Ciliated LRG5	epi_Glandular	epi_Glandular_secretory	epi_Lumenal 1	epi_Lumenal 2	epi_Pre-ciliated	epi_SOX9	epi_SOX9_LGR5	epi_SOX9_prolif	uSMC
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.01	0.02	0.01	0.0	0.03	0.17	0.08	0.0	0.06	0.02	0.01	0.0	0.02	0.01	0.04	0.02	0.02	0.04	0.09	0.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.01	0.02	0.01	0.0	0.03	0.17	0.08	0.0	0.06	0.02	0.01	0.0	0.02	0.01	0.04	0.02	0.02	0.04	0.09	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.05	0.03	0.06	0.03	0.1	0.04	0.1	0.0	0.03	0.34	0.44	0.03	0.04	0.09	0.09	0.306	0.18	0.13	0.25	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.05	0.03	0.06	0.03	0.1	0.04	0.1	0.0	0.03	0.34	0.44	0.03	0.04	0.09	0.09	0.306	0.18	0.13	0.25	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.05	0.03	0.06	0.03	0.1	0.04	0.1	0.0	0.03	0.34	0.44	0.03	0.04	0.09	0.09	0.306	0.18	0.13	0.25	0.0
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.11	0.18	0.04	0.26	0.32	0.15	0.22	0.01	0.14	0.62	0.75	0.7	0.77	0.32	0.47	0.388	0.51	0.27	0.65	0.02
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.03	0.06	0.0	0.01	0.09	0.03	0.07	0.01	0.02	0.04	0.13	0.01	0.02	0.08	0.05	0.041	0.08	0.07	0.21	0.01
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.59	0.44	0.0	0.0	0.0	0.0	0.061	0.01	0.01	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.02	0.02	0.27	0.42	0.05	0.01	0.38	0.5	0.0	0.01	0.33	0.03	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	SULT1E1	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.02	0.02	0.27	0.42	0.05	0.01	0.38	0.5	0.0	0.01	0.33	0.03	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.0	0.01	0.01	0.0	0.0	0.01	0.0	0.02	0.02	0.27	0.42	0.05	0.01	0.38	0.5	0.0	0.01	0.33	0.03	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0
